cluster,Name,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ruwe,l,b,radial_velocity,dist_kpc,dist_pc,X,Y,Z,Metal,M_e,log_age,log_age_e,dg,Av,Ag,E_BR_RP,d2,mass,e_mass,fb,rc_deg,e_rc_deg,rt_deg,e_rt_deg,ro_deg,e_ro_deg,re_deg,e_re_deg,r50_deg,bw,fitflag,rc_pc,rt_pc,e_rc_pc,e_rt_pc,R_J_pc,a_kpc,e,p_Myr,i_deg
169,King_16,10.93603691,0.028955756,64.18160289,0.032442246,-3.053368031,0.038212419,-0.561363809,0.046211706,0.337099563,0.041114302,8.044523239,1.003456473,122.0941828,1.32215405,-51.79806472,2.966482636,2966.482636,-9586.93314,2336.410482,88.20728405,0.0270298,0.007887664,6.670245853,0.173426392,15.81248778,3.39254093,2.920977741,1.394099416,0.006094177,393,78,0.97,0.055326284,0.002925988,0.099055017,0.006482754,0.079149708,0.000418706,0.214681474,0.004172477,0.039775131,0.462629481,comb,2.864512224,5.12856253,0.151492705,0.33564387,9.788620551,15.98200231,0.376721336,1.826640518,86.06562617
169,SAI_4,5.952093467,0.037848646,62.75867416,0.042675208,-3.097568278,0.048988007,-0.627873197,0.056800615,0.313334049,0.05103446,5.597214937,1.005702078,119.7711713,0.060681127,-47.44335464,3.191482068,3191.482068,-9575.34325,2542.954785,24.94991523,0.0480666,0.014026488,8.720159303,0.226724142,13.72579184,1.444360242,1.243594169,0.593532049,0.012572772,476,95,0.76,0.159060421,0.012174883,0.272805347,0.024163365,0.220452175,0.005522319,0.523517876,0.035284158,0.171022195,0.445449359,comb,8.859962909,15.195768,0.678163751,1.345944619,10.48105978,32.7526308,0.373932798,5.358899192,88.0145658
169,Stock_20,6.486532655,0.030231943,62.69142774,0.030976878,-3.199583723,0.038417839,-1.133294319,0.04217238,0.357000046,0.040727075,8.445986748,1.009148479,120.0085252,-0.031962745,-53.80426422,2.801120091,2801.120091,-9413.111048,2242.985999,19.91892272,0.0480666,0.014026488,6.940018155,0.180440472,14.63305183,2.073098512,1.784937819,0.851899943,0.019669015,999,199,0.4,0.197806741,0.013013746,0.300976606,0.019009268,0.230308747,0.020575996,0.578291414,0.179631148,0.243876617,0.403705504,comb,9.670527935,14.71437556,0.636226013,0.929339699,13.20686464,15.33032283,0.377013094,1.716063102,88.32835137
170,Dolidze_33,280.3005766,0.07296002,-4.367145106,0.079203452,-0.785162734,0.08601392,-2.801918225,0.07571051,0.314605201,0.090601187,3.537145473,1.0074869,27.87398277,0.27946877,27.66999548,3.178586994,3178.586994,-5547.179477,1361.676906,28.16898244,0.0152,0.004435567,6.599883072,0.17159696,15.32103663,4.611943607,3.970883445,1.895189483,19,373,74,0.66,0.062791635,0.004304068,0.336451956,0.128353012,0.017159605,0.020788869,0.205711253,0.836773499,0.046545445,0.545384428,comb,3.483479517,18.66528077,0.238775957,7.120615481,6.749033559,10.11024832,0.064372689,0.919070946,106.7278268
170,Trumpler_35,280.7373956,0.059723753,-4.21363561,0.05537243,-0.981146226,0.07402394,-2.238304717,0.061879415,0.33075697,0.06810013,4.741909787,1.0255483,28.20995683,-0.038784694,-2.92983864,3.023367883,3023.367883,-5765.229796,1264.055494,12.36203677,0.0270298,0.007887664,7.989894564,0.207737259,14.23872888,4.416511242,3.80261618,1.814880313,0.030095171,1517,303,0.9,0.084798155,0.001507291,0.175929832,0.004842755,0.120913631,0.002172356,0.302405462,0.020053393,0.073156313,0.396592484,comb,4.474605644,9.283416828,0.079536316,0.25554116,10.91782333,11.53290607,0.092316181,1.119732891,76.41200436
171,Dolidze_42,304.9370376,0.019532617,38.09719428,0.022144523,-2.988730405,0.025882578,-7.3206271,0.028157916,0.871865184,0.025770344,32.94642639,1.015411496,76.07324942,1.032945005,15.19288337,1.146966318,1146.966318,-7853.383649,1083.85949,40.75385325,0.0270298,0.007887664,6.640481437,0.172652517,10.33822084,1.503341107,1.294376693,0.617769101,0.049419381,65,13,0.32,22.13715396,21165.58987,0.553699191,0.137436358,0.23608008,0.004111216,0.299813625,0.030691632,0.265030886,0.564208621,comb,443.1490449,11.08413792,423699.9459,2.751247558,4.674257429,9.846820877,0.098065326,0.88338569,93.54666204
171,PHOC_37,300.9156837,0.016698186,34.67371643,0.018686227,-3.170013847,0.02146645,-6.812456224,0.024002707,0.890234182,0.02257526,39.07115936,0.994801432,71.45702152,1.882844197,15.35043366,1.123299937,1123.299937,-7774.761312,1033.689261,54.27002531,0.0270298,0.007887664,7.969881644,0.207216923,11.03991425,1.025147987,0.882652417,0.42126484,0.011862581,74,14,0.56,0.422842493,0.02362214,0.723548875,0.028507687,0,0,0,0,0.204372028,0.550321208,king,8.289946481,14.18538002,0.463118725,0.558901254,4.848878785,9.588443439,0.082336324,0.848845145,84.90692122
172,ESO_226-06,246.0399748,0.042953317,-51.15406241,0.030335425,-2.307199352,0.058791957,-3.281093791,0.046523319,0.379316334,0.054696603,6.860682101,0.99727755,333.0757047,-1.176067845,-25.60231537,2.636322009,2636.322009,-5997.052354,-1078.375937,-33.67109114,0.0085476,0.002494306,7.959994838,0.206959866,13.85397818,3.46553442,2.983825136,1.424094687,0.064374941,280,56,0.67,0.087931156,0.002872925,0.144713973,0.005133637,0.11841513,0.001161571,0.291698592,0.010408129,0.061371558,0.514360615,comb,4.045932245,6.658651567,0.132190459,0.236211468,6.380125606,7.251296772,0.082012281,0.558251402,90.54776082
172,UBC_1551,250.5619522,0.052171867,-47.4774745,0.036318157,-2.201877033,0.071245328,-3.492715331,0.058838465,0.362773442,0.061017955,6.082427977,0.9983233,337.7986128,-0.835785663,-21.31958413,2.756541365,2756.541365,-5869.782068,-920.5474783,-20.44376087,0.0480666,0.014026488,6.620136055,0.172123537,16.02016138,3.661437959,3.152498083,1.504597476,0.076597018,404,80,0.31,0.109960938,0.00211031,0.247713454,0.008319185,0.15976794,0.003785128,0.435903632,0.039283549,0.08913099,0.447812679,comb,5.290300205,11.91767332,0.101528539,0.400242003,7.043572378,7.974409463,0.073741967,0.643804637,104.4964331
172,UBC_548,250.4732526,0.054139156,-46.14472743,0.037998863,-2.106331904,0.0769904,-3.934626586,0.06162485,0.398271854,0.061089154,6.126071008,0.9958709,338.7246508,0.080103959,-23.38344646,2.510847777,2510.847777,-6030.055091,-814.7859635,22.90719997,0.0480666,0.014026488,8.699837726,0.226195781,13.68755238,2.698577727,2.323475423,1.108928591,0.034078509,506,101,0.83,0.149445672,0.014117848,2.872513951,3.587746857,0,0,0,0,0.151919707,0.453471878,king,6.549092036,125.8809171,0.618680251,157.2242545,7.740001084,7.015007092,0.094075899,0.531188268,82.15673611
172,UBC_669,251.7903745,0.03344846,-46.6744594,0.024642549,-1.806047605,0.049830439,-4.120549025,0.040590961,0.398338054,0.041154152,9.994398596,0.996863127,338.9322726,-0.952586984,-25.09670319,2.5104305,2510.4305,-6007.288638,-814.1765,-22.52831124,0.0270298,0.007887664,8.829946696,0.229578614,12.75048322,1.658953285,1.428358778,0.681714931,0.016864101,507,101,0.54,0.126205816,0.005573218,0.157780108,0.004859983,0.127473449,0.001486828,0.286764414,0.014106449,0.058691235,0.465724395,comb,5.529742897,6.913179274,0.244192095,0.212941506,7.742166927,7.746575129,0.111488254,0.61641175,102.8319447
173,ESO_521-38,272.3843311,0.022922708,-24.5497147,0.020161978,0.37453609,0.028443682,-2.416888242,0.021313344,0.801843597,0.030228165,27.01664532,0.886142625,6.468491035,-2.454953468,-8.83354017,1.247126003,1247.126003,-6948.711982,133.3475643,-32.35086135,0.0480666,0.014026488,8.720159303,0.226724142,10.46475138,1.034306086,0.89053754,0.425028184,0.015919154,258,51,0.62,0.223740536,0.01310892,0.755803368,0.08194394,0,0,0,0,0.179647413,0.477844713,king,4.870038295,16.45115995,0.285334716,1.783629078,6.808753143,8.426937219,0.020876565,0.699376347,86.66192498
