cluster,Name,S_pc,Z,Z_e,log_age,log_age_e,V_esc_km/s,V_rel_km/s,V_rel_e,V_esc_e,a_kpc,e,p_Myr,i_deg,rt_pc,rt_e,R_roc_pc,R_J_pc,S_pc.1,origin,Status
309,OC_0315,167.2389482,0.0270298,0.007887664,6.69019608,0.173945098,4.995193962,18.32090364,0.715996786,2.972403425,8.815197153,0.152960705,0.748263132,76.7472075,7.788232742,9.019336347,9.668264922,7.656557553,167.2389482,Y,Detached
309,Theia_6999,167.2389482,0.0480666,0.014026488,6.899820502,0.179395333,4.995193962,18.32090364,0.715996786,2.972403425,8.778396578,0.180280722,0.743582394,76.20577925,36.04013952,26.33755857,11.16396952,8.867407027,167.2389482,Y,Detached
323,Theia_2505,28.83343706,0.0270298,0.007887664,7.250420002,0.18851092,21.8437011,13.77114664,3.961277293,4.790229374,8.235572455,0.023994108,0.675689222,95.20382379,15.51005505,0.976993182,5.761074455,5.669414526,28.83343706,Y,Detached
323,Trumpler_26,28.83343706,0.0270298,0.007887664,8.550228353,0.222305937,21.8437011,13.77114664,3.961277293,4.790229374,8.244983548,0.034496069,0.676847755,80.56725512,15.19994929,1.55096814,12.60165817,11.67922281,28.83343706,Y,Detached
329,Trumpler_23,471.5577847,0.0270298,0.007887664,8.850033258,0.230100865,6.385891057,9.839815687,1.053466269,2.664383227,6.95396364,0.207742075,0.524269903,106.5265627,7.474295073,0.927938445,12.52961185,11.89439014,471.5577847,Y,Detached
329,UBC_535,471.5577847,0.0270298,0.007887664,8.42975228,0.219173559,6.385891057,9.839815687,1.053466269,2.664383227,7.35434502,0.216381239,0.570193554,88.95295392,27.4981179,2.952746631,7.951772675,7.387590565,471.5577847,Y,Detached
334,UBC_1532,166.374131,0.0270298,0.007887664,8.840106094,0.229842758,9.373547624,7.390480578,1.326798002,2.150508559,5.819814955,0.101339131,0.401393252,73.9845774,13.7367692,1.068171394,10.40239319,9.529659375,166.374131,N,Detached
334,UBC_299,166.374131,0.0085476,0.002494306,8.969881644,0.233216923,9.373547624,7.390480578,1.326798002,2.150508559,5.93007984,0.124747159,0.412854587,105.3319489,10.60721508,0.9639321,10.15613475,9.483395394,166.374131,N,Detached
336,UBC_326,126.8716371,0.0152,0.004435567,8.980003372,0.233480088,8.357695442,12.36128254,1.256016388,4.005863135,7.164957283,0.119314376,0.548310688,103.4219969,9.503865201,0.807656685,9.97955398,9.170739329,126.8716371,Y,Detached
336,UFMG_66,126.8716371,0.0085476,0.002494306,7.369215857,0.191599612,8.357695442,12.36128254,1.256016388,4.005863135,8.466898363,0.098772969,0.70435698,88.19208339,34.76807068,16.4800575,7.753961818,7.083560507,126.8716371,Y,Detached
338,UBC_1043,30.82394011,0.0152,0.004435567,6.599883072,0.17159696,15.03656494,13.20129625,2.327438253,3.456522638,9.971929361,0.098884014,0.900274799,101.8619859,6.138244214,0.437201443,6.486379521,6.140398523,30.82394011,Y,Detached
338,UBC_355,30.82394011,0.0270298,0.007887664,6.599883072,0.17159696,15.03656494,13.20129625,2.327438253,3.456522638,9.764408179,0.078326229,0.872318718,101.8700916,5.907575061,0.77778594,9.073932968,8.482158566,30.82394011,Y,Detached
339,UBC_356,42.62354005,0.0270298,0.007887664,7.810232518,0.203066045,10.1563087,11.81766416,1.443066935,4.101767255,8.720513558,0.067330558,0.736239977,83.60817884,11.431391,0.2215244,7.399133285,6.579183548,42.62354005,Y,Detached
339,UBC_575,42.62354005,0.0480666,0.014026488,7.910090546,0.205662354,10.1563087,11.81766416,1.443066935,4.101767255,8.954228592,0.07452996,0.766034922,84.6675857,18.88173818,3.181406288,8.266768073,7.363474048,42.62354005,Y,Detached
